train_acc,train_loss,val_acc,val_loss
0.045852632,4.215138,0.0544,4.4566774
0.088631579,3.856471,0.0924,4.0513825
0.149536842,3.5384896,0.1788,3.3628955
0.205747368,3.2205572,0.216,3.1272368
0.264294737,2.8929918,0.2468,3.2142136
0.316947368,2.6287675,0.3036,2.6535254
0.352526316,2.4464142,0.3228,2.545545
0.3828,2.3017137,0.3768,2.368724
0.408863158,2.1822627,0.3748,2.445185
0.431726316,2.0878942,0.3412,2.5659652
0.446126316,2.0073478,0.3956,2.3226898
0.464168421,1.9343013,0.4332,2.1348236
0.480610526,1.8710816,0.452,2.0420213
0.494421053,1.8056229,0.4532,2.0493922
0.506821053,1.7562966,0.4408,2.1685615
0.519852632,1.7080032,0.4664,1.9391413
0.532,1.662509,0.4812,1.9137187
0.542042105,1.6179755,0.4876,1.9631926
0.550863158,1.5806931,0.4416,2.1877306
0.558168421,1.5468992,0.4988,1.8536817
0.566652632,1.5120736,0.4828,1.9101584
0.574926316,1.4817723,0.5132,1.8027207
0.582947368,1.4465144,0.5164,1.780085
0.587557895,1.4256808,0.5052,1.9039944
0.596168421,1.3949226,0.5188,1.7890228
0.600778947,1.3708607,0.5224,1.7571511
0.607915789,1.3471166,0.5432,1.6850184
0.612589474,1.3210758,0.5312,1.7431418
0.621621053,1.29587,0.5368,1.7050749
0.625831579,1.2759498,0.5352,1.7343379
0.633284211,1.2486514,0.5708,1.6293353
0.637305263,1.2295775,0.542,1.7492696
0.644042105,1.2135302,0.5528,1.6495488
0.649284211,1.1884578,0.5548,1.6994629
0.653557895,1.1706201,0.5556,1.6652185
0.656378947,1.153523,0.56,1.7552016
0.661957895,1.1352271,0.5608,1.7207999
0.665347368,1.1168842,0.5644,1.7076813
0.669305263,1.1018877,0.5636,1.6510136
0.672505263,1.0890801,0.5708,1.6568711
0.682821053,1.0603732,0.5808,1.6250887
0.685557895,1.0469875,0.5668,1.7429978
0.688926316,1.0381325,0.5776,1.7037802
0.696821053,1.0124874,0.5784,1.6605904
0.697578947,1.0050318,0.5808,1.6507648
0.700126316,0.9940206,0.5764,1.7021784
0.705094737,0.9724839,0.59,1.6619183
0.707263158,0.9577393,0.5816,1.6537142
0.711178947,0.9410752,0.5884,1.6281677
0.716421053,0.9329773,0.5944,1.690916
0.7196,0.92190206,0.6024,1.6329925
0.721894737,0.9010883,0.5924,1.6767168
0.726842105,0.8862405,0.5988,1.6125362
0.730442105,0.8774126,0.5948,1.6189686
0.737136842,0.8542152,0.5996,1.6819785
0.738505263,0.8523305,0.5936,1.6851698
0.740547368,0.8361219,0.5968,1.6559677
0.743073684,0.8239931,0.5924,1.645205
0.748168421,0.8127679,0.6112,1.6560848
0.755347368,0.7943807,0.6104,1.6387105
0.752989474,0.7890426,0.6012,1.6794173
0.758652632,0.7743042,0.5944,1.7485535
0.759557895,0.769518,0.6016,1.7172829
0.765305263,0.75175655,0.6032,1.6956761
0.769389474,0.73814017,0.6028,1.69346
0.773810526,0.7229044,0.6124,1.7016191
0.777578947,0.7150044,0.6,1.6968253
0.776252632,0.71067274,0.61,1.7001796
0.780610526,0.69432306,0.6128,1.6933982
0.784042105,0.68823636,0.608,1.710503
0.785263158,0.6789606,0.614,1.718903
0.788547368,0.66342103,0.61,1.6892419
0.791473684,0.6584788,0.6156,1.721936
0.795936842,0.6478503,0.608,1.7355092
0.797578947,0.63812494,0.6156,1.7360042
0.8,0.6329501,0.6096,1.7519312
0.800421053,0.6223046,0.6144,1.7484874
0.806126316,0.6112255,0.6124,1.7638199
0.805747368,0.60875344,0.6164,1.7545024
0.804968421,0.6108572,0.6092,1.7787515
0.811284211,0.5980779,0.6104,1.7524182
0.813221053,0.58796847,0.616,1.7600228
0.816189474,0.5817389,0.6128,1.7580421
0.814568421,0.5765565,0.6144,1.7606909
0.817536842,0.57067704,0.6136,1.7811848
0.821115789,0.5653432,0.6088,1.7750958
0.818778947,0.567749,0.6112,1.7747415
0.820778947,0.5589174,0.6104,1.7946831
0.824042105,0.55263865,0.608,1.804602
0.824063158,0.5484653,0.6124,1.7997209
0.824252632,0.5511434,0.614,1.7958891
0.825031579,0.54355884,0.6088,1.8075618
0.823726316,0.55335283,0.6064,1.8331363
0.824884211,0.543496,0.6104,1.7946236
0.826568421,0.54391503,0.6112,1.806142
0.827663158,0.54255307,0.612,1.8078568
0.8264,0.54272676,0.6104,1.804251
0.829326316,0.5342439,0.6072,1.8005784
0.8292,0.535638,0.6068,1.8161786
0.825052632,0.5467139,0.61,1.811983
